|                        Parameters |                       0 |                      1 |   2 |                       3 |   4 |                      5 |   6 |                      7 |                      8 |                       9 |                      10 |  11 |                      12 |  13 |
|     eHWC J1825-134.spectral.index |   0.0029165211379310156 | -4.777275617379684e-16 | 0.0 | -0.00012406822637156358 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
| eHWC J1825-134.spectral.amplitude |  -4.777275617379684e-16 | 1.7595644005725875e-28 | 0.0 |   2.954886897983336e-17 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
| eHWC J1825-134.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
|   eHWC J1825-134.spectral.lambda_ | -0.00012406822637156358 |  2.954886897983336e-17 | 0.0 |  7.1067430634349846e-06 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
|     eHWC J1825-134.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
| eHWC J1907+063.spectral.amplitude |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |  1.719804056255551e-29 | 0.0 | 4.2111944401282445e-18 |  5.658421615848701e-17 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
| eHWC J1907+063.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
|     eHWC J1907+063.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 4.2111944401282445e-18 | 0.0 |  0.0006920847079913234 | 0.00013355350393320277 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
|      eHWC J1907+063.spectral.beta |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |  5.658421615848701e-17 | 0.0 | 0.00013355350393320277 | 0.00042291878845351856 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
|     eHWC J2019+368.spectral.index |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |    0.007948165913186518 | -3.4451793607620793e-16 | 0.0 | -0.00042564540022448105 | 0.0 |
| eHWC J2019+368.spectral.amplitude |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | -3.4451793607620793e-16 |   2.673436517272052e-29 | 0.0 |  2.4697387271762876e-17 | 0.0 |
| eHWC J2019+368.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
|   eHWC J2019+368.spectral.lambda_ |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | -0.00042564540022448105 |  2.4697387271762876e-17 | 0.0 |   2.823138913393904e-05 | 0.0 |
|     eHWC J2019+368.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |
