|                        Parameters |                     0 |                     1 |   2 |                     3 |                     4 |   5 |                     6 |                      7 |   8 |                     9 |                    10 |  11 |                    12 |                     13 |  14 |                    15 |                     16 |  17 |
|      VER J2031+415.spectral.index |    0.0400098721958335 | 3.929421356364801e-18 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|  VER J2031+415.spectral.amplitude | 3.929421356364801e-18 |  5.85582241075403e-28 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|  VER J2031+415.spectral.reference |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      VER J2019+407.spectral.index |                   0.0 |                   0.0 | 0.0 |   0.15358176132020485 | 5.904506667587575e-16 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|  VER J2019+407.spectral.amplitude |                   0.0 |                   0.0 | 0.0 | 5.904506667587575e-16 | 9.147809364473685e-27 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|  VER J2019+407.spectral.reference |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      VER J2019+368.spectral.index |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |   0.00765226278550696 |  6.982387573786044e-17 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|  VER J2019+368.spectral.amplitude |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 | 6.982387573786044e-17 | 1.3018222696414597e-28 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|  VER J2019+368.spectral.reference |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|     VER J2018+367*.spectral.index |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |  0.042643647527599346 | 7.453537293807299e-17 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
| VER J2018+367*.spectral.amplitude |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 7.453537293807299e-17 | 8.772108571230524e-29 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
| VER J2018+367*.spectral.reference |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|     VER J2020+368*.spectral.index |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |   0.06714764191212182 |  3.430508402844902e-18 | 0.0 |                   0.0 |                    0.0 | 0.0 |
| VER J2020+368*.spectral.amplitude |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 | 3.430508402844902e-18 | 3.4986407020960525e-29 | 0.0 |                   0.0 |                    0.0 | 0.0 |
| VER J2020+368*.spectral.reference |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      VER J2016+371.spectral.index |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |    0.5488931167171229 |  5.461756333852446e-16 | 0.0 |
|  VER J2016+371.spectral.amplitude |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 5.461756333852446e-16 | 1.4853658553925863e-28 | 0.0 |
|  VER J2016+371.spectral.reference |                   0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
