|                        Parameters |                      0 |                      1 |   2 |                      3 |   4 |                       5 |                       6 |   7 |                      8 |   9 |                     10 |                     11 |  12 |
|     HAWC J1825-138.spectral.index |   0.014721549743706564 | -1.312252099502636e-15 | 0.0 | -0.0012922960950466817 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| HAWC J1825-138.spectral.amplitude | -1.312252099502636e-15 |  1.288629909365476e-28 | 0.0 | 1.2862854347606092e-16 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| HAWC J1825-138.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|   HAWC J1825-138.spectral.lambda_ | -0.0012922960950466817 | 1.2862854347606092e-16 | 0.0 | 0.00014079550486880557 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|     HAWC J1825-138.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|     HAWC J1826-128.spectral.index |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |     0.08913481714429686 | -2.0416987098730548e-15 | 0.0 |  -0.003611948615222921 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| HAWC J1826-128.spectral.amplitude |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | -2.0416987098730548e-15 |   5.631967883775425e-29 | 0.0 |  9.449732560751742e-17 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| HAWC J1826-128.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|   HAWC J1826-128.spectral.lambda_ |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |   -0.003611948615222921 |   9.449732560751742e-17 | 0.0 | 0.00016746857185584907 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|     HAWC J1826-128.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|     HAWC J1825-134.spectral.index |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |   0.006987268694394014 | -6.007909282860837e-18 | 0.0 |
| HAWC J1825-134.spectral.amplitude |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | -6.007909282860837e-18 | 2.1985481917164702e-31 | 0.0 |
| HAWC J1825-134.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
