e_ref e2dnde e2dnde_errp e2dnde_errn e2dnde_ul is_ul
3.5197999999999996 5.151e-12 1.4689999999999995e-12 1.3882e-12 nan False
5.994299999999999 2.2853e-12 6.167e-13 5.701e-13 nan False
10.004999999999999 1.7001e-12 4.880999999999999e-13 4.165000000000001e-13 nan False
15.655000000000003 1.8029e-12 3.8570000000000026e-13 2.928999999999999e-13 nan False
31.634000000000004 2.6573e-12 8.045000000000001e-13 6.689000000000001e-13 nan False
49.95 1.2167e-12 2.6909999999999993e-13 2.2640000000000013e-13 nan False
56.824 4.977e-13 1.3330000000000005e-13 1.1909999999999997e-13 nan False
79.573 5.925e-13 1.1709999999999998e-13 9.030000000000003e-14 nan False
126.44000000000001 3.5128999999999996e-13 6.313999999999997e-14 7.381000000000002e-14 nan False
199.66000000000005 1.9263e-13 6.325999999999999e-14 5.988000000000002e-14 nan False
315.49 9.872e-14 5.3230000000000004e-14 5.166999999999999e-14 nan False
501.25000000000006 1.5969e-13 1.599999999999963e-16 -7.700000000000058e-16 1.5969e-13 True
795.6299999999997 4.739e-14 -6.000000000000176e-17 -1.1199999999999993e-15 4.739e-14 True
1574.7 4.258e-14 1.3000000000000172e-16 -2.599999999999971e-16 4.258e-14 True
