x,e2dnde,e2dnde_errp,e2dnde_errn,e2dnde_ul,is_ul
5.0102,1.9168E-12,3.5384E-12,5.983E-13,nan,False
7.8818,1.6923E-12,2.3981E-12,1.1942E-12,nan,False
12.814,2.1236E-12,2.5371E-12,1.8301E-12,nan,False
18.87,1.7471E-12,2.1038E-12,1.5445E-12,nan,False
34.206,1.5181E-12,1.9151E-12,1.4032E-12,nan,False
68.002,9.215E-13,1.1493E-12,8.484E-13,nan,False
79.658,1.1305E-12,1.36E-12,1.0534E-12,nan,False
125.22,8.485E-13,1.0721E-12,7.685E-13,nan,False
199.67,3.92E-13,5.205E-13,3.3637E-13,nan,False
314.43,1.0484E-13,1.7799E-13,5.433E-14,nan,False
501.66,6.386E-14,1.3077E-13,8.092E-15,nan,False
792.91,5.098E-14,5.106E-14,5.083E-14,4.854E-14,True
1580.1,4.86E-14,4.86E-14,4.854E-14,4.854E-14,True
