x,e2dnde,e2dnde_errp,e2dnde_errn,e2dnde_ul,is_ul
3.1332,2.1727E-11,2.5709E-11,1.8307E-11,nan,False
5.2445,2.0648E-11,2.4543E-11,1.745E-11,nan,False
9.357,1.3911E-11,1.6341E-11,1.1898E-11,nan,False
14.787,7.837E-12,9.279E-12,6.738E-12,nan,False
29.174,3.3289E-12,3.9002E-12,2.6974E-12,nan,False
57.91,1.2408E-12,1.5903E-12,8.929E-13,nan,False
79.347,1.5337E-12,1.8395E-12,1.3237E-12,nan,False
125.92,3.7362E-13,5.107E-13,2.4165E-13,nan,False
200.11,2.8045E-13,2.8684E-13,2.8512E-13,2.8045E-13,True
315.38,1.7007E-13,1.7175E-13,1.697E-13,1.7007E-13,True
500.35,2.4579E-13,2.48E-13,2.4706E-13,2.4579E-13,True
790.77,5.382E-14,5.416E-14,5.435E-14,5.382E-14,True
1580.9,1.0616E-13,1.0388E-13,1.0379E-13,1.0616E-13,True
