|                             Parameters |                      0 |                     1 |   2 |                      3 |   4 |                       5 |   6 |                     7 |                       8 |                       9 |  10 |                      11 |                     12 |
|     1LHAASO J1825-1256u.spectral.index |   0.015455253905793973 | 7.294884548105405e-17 | 0.0 | -0.0002562919073274077 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
| 1LHAASO J1825-1256u.spectral.amplitude |  7.294884548105405e-17 | 5.637217786072741e-30 | 0.0 |  7.557506833242087e-19 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
| 1LHAASO J1825-1256u.spectral.reference |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|   1LHAASO J1825-1256u.spectral.lambda_ | -0.0002562919073274077 | 7.557506833242087e-19 | 0.0 |  5.663898200270676e-06 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|     1LHAASO J1825-1256u.spectral.alpha |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
| 1LHAASO J1825-1337u.spectral.amplitude |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |   7.930673796189504e-30 | 0.0 | 4.677841962967034e-16 | -1.0679660311272487e-16 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
| 1LHAASO J1825-1337u.spectral.reference |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|     1LHAASO J1825-1337u.spectral.alpha |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |   4.677841962967034e-16 | 0.0 |  0.040138065928610904 |   -0.011000578025542766 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|      1LHAASO J1825-1337u.spectral.beta |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 | -1.0679660311272487e-16 | 0.0 | -0.011000578025542766 |   0.0033916711235930574 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|  1LHAASO J1825-1418.spectral.amplitude |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |  1.0672650284868155e-28 | 0.0 | -1.6528239438614225e-16 |  3.437866388636993e-16 |
|  1LHAASO J1825-1418.spectral.reference |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|      1LHAASO J1825-1418.spectral.alpha |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 | -1.6528239438614225e-16 | 0.0 |     0.00604377131678181 | -0.0026735606755531847 |
|       1LHAASO J1825-1418.spectral.beta |                    0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |   3.437866388636993e-16 | 0.0 |  -0.0026735606755531847 |  0.0028626877617127515 |
